energy	p2	p2	p3
0.00150301	0.0677738	0.00813937	0.0000685400
0.0300601	0.593801	0.144836	0.00165908
0.0601202	0.746211	0.259372	0.00407498
0.0901804	0.816023	0.352001	0.00754283
0.120240	0.856065	0.428288	0.0124719
0.150301	0.882030	0.492063	0.0194294
0.180361	0.900232	0.546055	0.0291985
0.210421	0.913698	0.592254	0.0428532
0.240481	0.924062	0.632150	0.0618459
0.270541	0.932286	0.666878	0.0880919
0.300601	0.938970	0.697318	0.124011
0.330661	0.944509	0.724166	0.172438
0.360721	0.949174	0.747973	0.236247
0.390782	0.953156	0.769187	0.317504
0.420842	0.956594	0.788173	0.416076
0.450902	0.959593	0.805231	0.528049
0.480962	0.962232	0.820613	0.645039
0.511022	0.964572	0.834527	0.755662
0.541082	0.966660	0.847151	0.849155
0.571142	0.968536	0.858634	0.919083
0.601202	0.970229	0.869107	0.964695
0.631263	0.971766	0.878678	0.989572
0.661323	0.973166	0.887444	0.999185
0.691383	0.974447	0.895489	0.998919
0.721443	0.975624	0.902884	0.993105
0.751503	0.976709	0.909692	0.984816
0.781563	0.977712	0.915971	0.976042
0.811623	0.978641	0.921769	0.967967
0.841683	0.979506	0.927131	0.961222
0.871743	0.980311	0.932094	0.956080
0.901804	0.981064	0.936694	0.952593
0.931864	0.981769	0.940962	0.950680
0.961924	0.982430	0.944925	0.950187
0.991984	0.983051	0.948609	0.950921
1.02204	0.983636	0.952036	0.952676
1.05210	0.984188	0.955227	0.955244
1.08216	0.984709	0.958199	0.958428
1.11222	0.985202	0.960971	0.962043
1.14228	0.985670	0.963556	0.965922
1.17234	0.986113	0.965969	0.969918
1.20240	0.986534	0.968222	0.973904
1.23246	0.986935	0.970328	0.977775
1.26253	0.987317	0.972296	0.981444
1.29259	0.987680	0.974136	0.984845
1.32265	0.988027	0.975858	0.987928
1.35271	0.988359	0.977468	0.990661
1.38277	0.988676	0.978976	0.993026
1.41283	0.988980	0.980388	0.995020
1.44289	0.989270	0.981710	0.996646
1.47295	0.989549	0.982948	0.997920
1.50301	0.989816	0.984107	0.998864
1.53307	0.990073	0.985194	0.999505
1.56313	0.990320	0.986212	0.999872
1.59319	0.990557	0.987166	0.999999
1.62325	0.990785	0.988059	0.999920
1.65331	0.991005	0.988897	0.999667
1.68337	0.991217	0.989682	0.999275
1.71343	0.991421	0.990417	0.998773
1.74349	0.991618	0.991105	0.998192
1.77355	0.991809	0.991750	0.997558
1.80361	0.991992	0.992354	0.996896
1.83367	0.992170	0.992920	0.996227
1.86373	0.992342	0.993449	0.995569
1.89379	0.992508	0.993945	0.994939
1.92385	0.992668	0.994408	0.994350
1.95391	0.992824	0.994842	0.993812
1.98397	0.992974	0.995247	0.993334
2.01403	0.993121	0.995625	0.992922
2.04409	0.993262	0.995979	0.992580
2.07415	0.993399	0.996309	0.992310
2.10421	0.993533	0.996617	0.992113
2.13427	0.993662	0.996904	0.991989
2.16433	0.993788	0.997171	0.991935
2.19439	0.993910	0.997420	0.991948
2.22445	0.994028	0.997652	0.992025
2.25451	0.994143	0.997867	0.992161
2.28457	0.994256	0.998066	0.992350
2.31463	0.994365	0.998252	0.992588
2.34469	0.994471	0.998423	0.992869
2.37475	0.994574	0.998582	0.993186
2.40481	0.994674	0.998728	0.993534
2.43487	0.994772	0.998864	0.993906
2.46493	0.994868	0.998988	0.994297
2.49499	0.994961	0.999103	0.994702
2.52505	0.995051	0.999208	0.995114
2.55511	0.995139	0.999304	0.995529
2.58517	0.995226	0.999391	0.995942
2.61523	0.995310	0.999471	0.996349
2.64529	0.995392	0.999543	0.996745
2.67535	0.995472	0.999609	0.997127
2.70541	0.995550	0.999668	0.997492
2.73547	0.995626	0.999721	0.997837
2.76553	0.995701	0.999768	0.998160
2.79559	0.995773	0.999810	0.998459
2.82565	0.995844	0.999846	0.998732
2.85571	0.995914	0.999878	0.998979
2.88577	0.995982	0.999906	0.999199
2.91583	0.996048	0.999929	0.999391
2.94589	0.996113	0.999949	0.999556
2.97595	0.996177	0.999965	0.999694
3.00601	0.996239	0.999978	0.999804
3.03607	0.996300	0.999988	0.999889
3.06613	0.996359	0.999994	0.999949
3.09619	0.996417	0.999998	0.999986
3.12625	0.996474	1.00000	1.00000
3.15631	0.996530	0.999999	0.999993
3.18637	0.996585	0.999996	0.999967
3.21643	0.996638	0.999992	0.999924
3.24649	0.996691	0.999985	0.999865
3.27655	0.996742	0.999977	0.999792
3.30661	0.996792	0.999967	0.999708
3.33667	0.996842	0.999955	0.999613
3.36673	0.996890	0.999943	0.999509
3.39679	0.996937	0.999929	0.999399
3.42685	0.996984	0.999914	0.999284
3.45691	0.997029	0.999899	0.999166
3.48697	0.997074	0.999882	0.999045
3.51703	0.997118	0.999865	0.998925
3.54709	0.997161	0.999847	0.998806
3.57715	0.997203	0.999828	0.998689
3.60721	0.997244	0.999809	0.998575
3.63727	0.997285	0.999790	0.998466
3.66733	0.997325	0.999770	0.998363
3.69739	0.997364	0.999750	0.998266
3.72745	0.997402	0.999730	0.998177
3.75752	0.997440	0.999709	0.998095
3.78758	0.997477	0.999688	0.998022
3.81764	0.997513	0.999668	0.997957
3.84770	0.997549	0.999647	0.997901
3.87776	0.997584	0.999626	0.997855
3.90782	0.997619	0.999605	0.997819
3.93788	0.997653	0.999584	0.997791
3.96794	0.997686	0.999564	0.997773
3.99800	0.997719	0.999543	0.997765
