energy	short	medium	long	Llong
0.00301205	0.00654867	0.000544189	0.00000318029	1.06140e-10
0.0602410	0.116607	0.0108519	0.0000658377	2.33135e-9
0.120482	0.209072	0.0216360	0.000136563	5.14875e-9
0.180723	0.284190	0.0323513	0.000212478	8.53278e-9
0.240964	0.346423	0.0429970	0.000293906	1.25766e-8
0.301205	0.398825	0.0535722	0.000381187	1.73881e-8
0.361446	0.443554	0.0640760	0.000474685	2.30916e-8
0.421687	0.482180	0.0745076	0.000574783	2.98314e-8
0.481928	0.515873	0.0848664	0.000681891	3.77739e-8
0.542169	0.545521	0.0951515	0.000796443	4.71119e-8
0.602410	0.571811	0.105362	0.000918900	5.80681e-8
0.662651	0.595282	0.115498	0.00104975	7.09005e-8
0.722892	0.616366	0.125559	0.00118952	8.59073e-8
0.783133	0.635408	0.135543	0.00133875	1.03434e-7
0.843373	0.652691	0.145451	0.00149804	1.23881e-7
0.903614	0.668449	0.155282	0.00166800	1.47711e-7
0.963855	0.682874	0.165035	0.00184931	1.75462e-7
1.02410	0.696129	0.174711	0.00204267	2.07756e-7
1.08434	0.708350	0.184308	0.00224883	2.45317e-7
1.14458	0.719654	0.193827	0.00246859	2.88984e-7
1.20482	0.730141	0.203266	0.00270279	3.39731e-7
1.26506	0.739895	0.212627	0.00295235	3.98691e-7
1.32530	0.748991	0.221908	0.00321821	4.67183e-7
1.38554	0.757494	0.231110	0.00350141	5.46741e-7
1.44578	0.765459	0.240232	0.00380304	6.39150e-7
1.50602	0.772936	0.249274	0.00412425	7.46496e-7
1.56627	0.779969	0.258236	0.00446628	8.71207e-7
1.62651	0.786595	0.267118	0.00483044	0.00000101612
1.68675	0.792850	0.275920	0.00521814	0.00000118456
1.74699	0.798763	0.284642	0.00563087	0.00000138041
1.80723	0.804362	0.293283	0.00607022	0.00000160821
1.86747	0.809670	0.301844	0.00653788	0.00000187329
1.92771	0.814711	0.310326	0.00703566	0.00000218192
1.98795	0.819504	0.318727	0.00756549	0.00000254144
2.04819	0.824066	0.327048	0.00812942	0.00000296052
2.10843	0.828415	0.335289	0.00872963	0.00000344932
2.16867	0.832564	0.343451	0.00936848	0.00000401989
2.22892	0.836526	0.351533	0.0100484	0.00000468642
2.28916	0.840315	0.359536	0.0107722	0.00000546570
2.34940	0.843942	0.367459	0.0115425	0.00000637761
2.40964	0.847416	0.375304	0.0123625	0.00000744576
2.46988	0.850747	0.383070	0.0132354	0.00000869818
2.53012	0.853944	0.390758	0.0141645	0.0000101682
2.59036	0.857014	0.398367	0.0151537	0.0000118957
2.65060	0.859965	0.405898	0.0162068	0.0000139281
2.71084	0.862804	0.413352	0.0173280	0.0000163223
2.77108	0.865537	0.420729	0.0185218	0.0000191464
2.83133	0.868170	0.428029	0.0197929	0.0000224823
2.89157	0.870708	0.435252	0.0211465	0.0000264287
2.95181	0.873156	0.442399	0.0225880	0.0000311043
3.01205	0.875519	0.449470	0.0241232	0.0000366532
3.07229	0.877801	0.456466	0.0257584	0.0000432496
3.13253	0.880007	0.463387	0.0275001	0.0000511055
3.19277	0.882140	0.470233	0.0293553	0.0000604793
3.25301	0.884204	0.477005	0.0313317	0.0000716866
3.31325	0.886201	0.483703	0.0334372	0.0000851142
