energy	electron	tau-neutrino	muon	proton
0.00301205	0.0431620	0.0142033	0.000561824	2.36765e-9
0.0602410	0.0431620	0.0142033	0.000561824	2.36765e-9
0.120482	0.0431620	0.0142033	0.000561824	2.36765e-9
0.180723	0.0431620	0.0142033	0.000561824	2.36765e-9
0.240964	0.0431620	0.0142033	0.000561824	2.36765e-9
0.301205	0.0431620	0.0142033	0.000561824	2.36765e-9
0.361446	0.0431620	0.0142033	0.000561824	2.36765e-9
0.421687	0.0431620	0.0142033	0.000561824	2.36765e-9
0.481928	0.0431620	0.0142033	0.000561824	2.36765e-9
0.542169	0.0431620	0.0142033	0.000561824	2.36765e-9
0.602410	0.0431620	0.0142033	0.000561824	2.36765e-9
0.662651	0.0431620	0.0142033	0.000561824	2.36765e-9
0.722892	0.0431620	0.0142033	0.000561824	2.36765e-9
0.783133	0.0431620	0.0142033	0.000561824	2.36765e-9
0.843373	0.0431620	0.0142033	0.000561824	2.36765e-9
0.903614	0.0431620	0.0142033	0.000561824	2.36765e-9
0.963855	0.0431620	0.0142033	0.000561824	2.36765e-9
1.02410	0.0431620	0.0142033	0.000561824	2.36765e-9
1.08434	0.0431620	0.0142033	0.000561824	2.36765e-9
1.14458	0.0431620	0.0142033	0.000561824	2.36765e-9
1.20482	0.0431620	0.0142033	0.000561824	2.36765e-9
1.26506	0.0431620	0.0142033	0.000561824	2.36765e-9
1.32530	0.0431620	0.0142033	0.000561824	2.36765e-9
1.38554	0.0431620	0.0142033	0.000561824	2.36765e-9
1.44578	0.0431620	0.0142033	0.000561824	2.36765e-9
1.50602	0.0431620	0.0142033	0.000561824	2.36765e-9
1.56627	0.0431620	0.0142033	0.000561824	2.36765e-9
1.62651	0.0431620	0.0142033	0.000561824	2.36765e-9
1.68675	0.0431620	0.0142033	0.000561824	2.36765e-9
1.74699	0.0431620	0.0142033	0.000561824	2.36765e-9
1.80723	0.0431620	0.0142033	0.000561824	2.36765e-9
1.86747	0.0431620	0.0142033	0.000561824	2.36765e-9
1.92771	0.0431620	0.0142033	0.000561824	2.36765e-9
1.98795	0.0431620	0.0142033	0.000561824	2.36765e-9
2.04819	0.0431620	0.0142033	0.000561824	2.36765e-9
2.10843	0.0431620	0.0142033	0.000561824	2.36765e-9
2.16867	0.0431620	0.0142033	0.000561824	2.36765e-9
2.22892	0.0431620	0.0142033	0.000561824	2.36765e-9
2.28916	0.0431620	0.0142033	0.000561824	2.36765e-9
2.34940	0.0431620	0.0142033	0.000561824	2.36765e-9
2.40964	0.0431620	0.0142033	0.000561824	2.36765e-9
2.46988	0.0431620	0.0142033	0.000561824	2.36765e-9
2.53012	0.0431620	0.0142033	0.000561824	2.36765e-9
2.59036	0.0431620	0.0142033	0.000561824	2.36765e-9
2.65060	0.0431620	0.0142033	0.000561824	2.36765e-9
2.71084	0.0431620	0.0142033	0.000561824	2.36765e-9
2.77108	0.0431620	0.0142033	0.000561824	2.36765e-9
2.83133	0.0431620	0.0142033	0.000561824	2.36765e-9
2.89157	0.0431620	0.0142033	0.000561824	2.36765e-9
2.95181	0.0431620	0.0142033	0.000561824	2.36765e-9
3.01205	0.0431620	0.0142033	0.000561824	2.36765e-9
3.07229	0.0431620	0.0142033	0.000561824	2.36765e-9
3.13253	0.0431620	0.0142033	0.000561824	2.36765e-9
3.19277	0.0431620	0.0142033	0.000561824	2.36765e-9
